author,date,id,iso,original_review,original_title,predicted_langs/0,predicted_langs/1,predicted_langs/2,predicted_langs/3,predicted_langs/4,product,review,stars,title,version,weight
Lashawn Gee,2015-10-22T04:11:20,14831371782Ly32Dulcod7JrU9lHK24Hyg,ZZ,"I dont see a private box, i uninstalled GoSms and looks better but where is da private box",,en,af,da,nl,no,14831371782,"I dont see a private box, i uninstalled GoSms and looks better but where is da private box",3.00,,3.7,0
Colum M,2015-10-22T04:09:21,14831371782L_EU4xPqmQtSLeYvaAcAzyw,ZZ,Peach.,,cy,lb,pl,de,en,14831371782,Peach.,5.00,,3.7,0
Naomi Rossen,2015-10-22T03:53:23,14831371782Lm5qqwJDc-LzlwZsdELeFcA,ZZ,Can we get an option to change the font style,,en,cy,da,,,14831371782,Can we get an option to change the font style,5.00,,3.7,0
Kaveen Fido,2015-10-22T03:53:22,14831371782LmELxYTRUa7uX0FZU8nSLyA,ZZ,Really love it. totally worth downloading it.,,en,,,,,14831371782,Really love it. totally worth downloading it.,5.00,,3.7,0
Sam D,2015-10-22T03:34:03,14831371782Lf0gMlJRlkRZe-R8aIvsGnA,ZZ,Love the textra app. I first started looking for a better texting app in 2014 due to the lag that is present in the default messaging app that was on my Note 4. I tried all the top recommended apps from a number of sites and ended up settling on textra.  It's functions are awesome it is a very frustration free app and that keeps me happy.  I just wish pictures I receive by MMS would show on my Android Wear device but it just shows a card telling me I have received a picture and I then need to view on phone,Wish you would add better support for Android Wear,en,,,,,14831371782,Love the textra app. I first started looking for a better texting app in 2014 due to the lag that is present in the default messaging app that was on my Note 4. I tried all the top recommended apps from a number of sites and ended up settling on textra.  It's functions are awesome it is a very frustration free app and that keeps me happy.  I just wish pictures I receive by MMS would show on my Android Wear device but it just shows a card telling me I have received a picture and I then need to view on phone,4.00,Wish you would add better support for Android Wear,3.7,0
Britney Hms,2015-10-22T03:33:25,14831371782LNGSRuG-zLcoIvzK0LjM5ZQ,ZZ,"However, when changing the app icon color, it caused my OS launcher to quite, shut down all my settings, and I couldn't open anything and there's also been a delay in me getting any texts.",Love it!!!!,en,,,,,14831371782,"However, when changing the app icon color, it caused my OS launcher to quite, shut down all my settings, and I couldn't open anything and there's also been a delay in me getting any texts.",5.00,Love it!!!!,3.7,0
Redford Lenhart,2015-10-22T03:30:26,14831371782LNCuY6_EVzmdjgcS9HkRv_w,ZZ,Ads....really!?,,en,,,,,14831371782,Ads....really!?,3.00,,3.7,0
Joseph Kapinos,2015-10-22T03:29:31,14831371782LTT--hIhc8BOa63MBCrJtdw,ZZ,"This app is simply amazing. From the variety of customization and the performance, it's the best text app I've used to date. Works phenomenal on my LG G3",Best text app to date,en,,,,,14831371782,"This app is simply amazing. From the variety of customization and the performance, it's the best text app I've used to date. Works phenomenal on my LG G3",5.00,Best text app to date,3.7,0
Raymond Knight,2015-10-22T03:25:51,14831371782Lxdkh48JsBGI6iKZqsA4UAg,ZZ,It's decent. If they take out the ads and add the pro features then I'd definitely give it a 5-star rating.,Mehh,en,,,,,14831371782,It's decent. If they take out the ads and add the pro features then I'd definitely give it a 5-star rating.,3.00,Mehh,3.7,0
Michael Mayorga,2015-10-22T03:20:25,14831371782LHAtRYO8DmlOIOAPBszkWdQ,ZZ,I recommend,10/10,fr,en,da,it,no,14831371782,I recommend,5.00,10/10,3.7,0
Rose Chevalier,2015-10-22T03:07:18,14831371782L08xJIt_Gwf6iannNT11NvA,ZZ,Textra is a super amazing messaging app. I love how customizable the colors are. Really simplistic design makes it incredibly easy to use too.,Awesome app,en,,,,,14831371782,Textra is a super amazing messaging app. I love how customizable the colors are. Really simplistic design makes it incredibly easy to use too.,5.00,Awesome app,3.7,0
Troy Edwards,2015-10-22T02:48:18,14831371782LzDsgsyYJjtN7cXHPok88DQ,ZZ,"It cool, you should give it a try",,en,,,,,14831371782,"It cool, you should give it a try",5.00,,3.7,0
Shamsuzzoha Zoha,2015-10-22T02:09:30,14831371782L-_GZj5nCP_oRwKj_y5PXwA,ZZ,How can I use it while using dual sim?,,en,,,,,14831371782,How can I use it while using dual sim?,5.00,,3.7,0
Komakech Patrick,2015-10-22T02:05:58,14831371782LayeES37wmPoWVbOC8O4yQA,ZZ,I can't see the time someone has sent me a message on our chat. I see the time I sent a message to some one but I can't see the person's time of sending the text on the chat page.. so do something about that other wise it's a good apps,Love but.....,en,,,,,14831371782,I can't see the time someone has sent me a message on our chat. I see the time I sent a message to some one but I can't see the person's time of sending the text on the chat page.. so do something about that other wise it's a good apps,5.00,Love but.....,3.7,0
Erana James,2015-10-22T01:44:48,14831371782LgHjMtlp-ucRbFwikPt7wEQ,ZZ,Just not working all of the sudden I have the premium version. Don't know what the heck is going on. Why is it not working? Very frustrated,Can't text WTF,en,,,,,14831371782,Just not working all of the sudden I have the premium version. Don't know what the heck is going on. Why is it not working? Very frustrated,2.00,Can't text WTF,,0
Michelle Isaac,2015-10-22T01:34:55,14831371782LeYENKldnDZen9dkjpP4bmQ,ZZ,I've been using this app since my RAZR Max HD and so far have not experienced any problems. I still rate this a 5. Keep up the good work.,Excellent app,en,,,,,14831371782,I've been using this app since my RAZR Max HD and so far have not experienced any problems. I still rate this a 5. Keep up the good work.,5.00,Excellent app,3.7,0
Wayne Sommersell,2015-10-22T01:16:00,14831371782Ldgcp6jumaVhjxdUyjTKy2w,ZZ,Very good looking UI.,,af,en,tl,ceb,,14831371782,Very good looking UI.,5.00,,3.7,0
Lance Weidman,2015-10-22T01:09:50,14831371782LIB7CS8dl1AYJ13c2TWXCzg,ZZ,"Textra is elegant yet simple. Attractive, customizable interface without overdoing it. Highly recommend.",The Perfect Messaging App,en,,,,,14831371782,"Textra is elegant yet simple. Attractive, customizable interface without overdoing it. Highly recommend.",5.00,The Perfect Messaging App,,0
Gina DeAngelis,2015-10-22T01:01:29,14831371782LqZcvT8gQqPZl2KOKITr0-A,ZZ,"Stopped working. Just bought upgrade and now it won't send pics. Am no longer receiving or able to send texts. Frustrating especially in light of the fact that I just bought upgrade.  UPDATE: spoke to Max via email who was beyond rude and never touched upon my request for a refund, instead told me the app DOES work. Except it doesn't, Max. Have uninstalled. Disappointed in app and customer service. Also still want refund. Poorly done guys.",Upgrade has stopped textra,en,,,,,14831371782,"Stopped working. Just bought upgrade and now it won't send pics. Am no longer receiving or able to send texts. Frustrating especially in light of the fact that I just bought upgrade.  UPDATE: spoke to Max via email who was beyond rude and never touched upon my request for a refund, instead told me the app DOES work. Except it doesn't, Max. Have uninstalled. Disappointed in app and customer service. Also still want refund. Poorly done guys.",1.00,Upgrade has stopped textra,3.7,0
Gabrielle Intenzo,2015-10-22T00:58:42,14831371782LQDoWVppxYeFxs1IFCaZTJQ,ZZ,This is the best texting  app that I have come across. The customer service is nothing short of spectacular and I love all the customization options. Just download it!,Quick and pretty,en,,,,,14831371782,This is the best texting  app that I have come across. The customer service is nothing short of spectacular and I love all the customization options. Just download it!,5.00,Quick and pretty,3.7,0
urvesh lal,2015-10-22T00:58:15,14831371782LjyWAZP-H0pe07Twl-Y-2_A,ZZ,It's awesome and easy to use *thumbs up*,I like,en,af,,,,14831371782,It's awesome and easy to use *thumbs up*,4.00,I like,3.7,0
Jim Axtell,2015-10-22T00:36:55,14831371782LPkNrI_Za6vwZW9AeBVSRKQ,ZZ,Overall good app I haven't had many problems with it other than it not liking me being on Wi-Fi very much and failure send a few messages with pictures but the overall still be at the messages there in the way I want it too so and it's easy to personalize,Nice texting app,en,,,,,14831371782,Overall good app I haven't had many problems with it other than it not liking me being on Wi-Fi very much and failure send a few messages with pictures but the overall still be at the messages there in the way I want it too so and it's easy to personalize,4.00,Nice texting app,3.7,0
Sidharth Uberoi,2015-10-22T00:35:42,14831371782LX9poDqyGk_JUJ1s8r26FaA,ZZ,Fast as.... Fast.,,en,et,an,af,,14831371782,Fast as.... Fast.,5.00,,3.7,0
Justme Fleur,2015-10-22T00:21:46,14831371782Lvw44pdcWT5809VzHbWgXUA,ZZ,could you please make a separate folder in the messages for strangers' msgs just to sort all those unsaved numbers :) and could you make the customizations more varied. For instance have a font color options or font style. And options for the bubble shapes,,en,,,,,14831371782,could you please make a separate folder in the messages for strangers' msgs just to sort all those unsaved numbers :) and could you make the customizations more varied. For instance have a font color options or font style. And options for the bubble shapes,1.00,,3.7,0
James Meek,2015-10-22T00:19:19,14831371782LIBCKUyJh8ybzduaSt_YqeQ,ZZ,Definitely not false advertising.,Simple. Beautiful. Fast,en,da,la,no,,14831371782,Definitely not false advertising.,5.00,Simple. Beautiful. Fast,3.7,0
Sidney Bouzaglo,2015-10-22T00:13:42,14831371782LE7ZjC0tbTSiYz0OeIg7KoA,ZZ,An excellent replacement to the texting app that comes with the phone,Easy and features rich,en,,,,,14831371782,An excellent replacement to the texting app that comes with the phone,4.00,Easy and features rich,3.7,0
Nathan Herbst,2015-10-21T23:34:51,14831371782LgSUdNpFr6DTQs781EUV3-w,ZZ,"I have had this app for a while, and recently I've noticed it has trouble sending and receiving photos/videos. If you could fix this it would be appreciated, as it is a great inconvenience",Can't send photos,en,,,,,14831371782,"I have had this app for a while, and recently I've noticed it has trouble sending and receiving photos/videos. If you could fix this it would be appreciated, as it is a great inconvenience",4.00,Can't send photos,3.7,0
Big John Flores,2015-10-21T23:33:48,14831371782L2X0k0of7tZkFEoFWyucCVQ,ZZ,Havent had any problems in a long time. Its been working great.,Improved,en,,,,,14831371782,Havent had any problems in a long time. Its been working great.,4.00,Improved,3.7,0
Sean Beckett,2015-10-21T23:16:46,14831371782L-dPfULuRUWbQbTGiSqWGDA,ZZ,"Easy to use, good looking text app. I like that I can turn off all sounds and vibration even though my phone only goes down to vibrate only.",Clean app,en,,,,,14831371782,"Easy to use, good looking text app. I like that I can turn off all sounds and vibration even though my phone only goes down to vibrate only.",5.00,Clean app,3.7,0
Richard Dye II,2015-10-21T22:52:45,14831371782LTLINDgvui15Pzez9vlFm0A,ZZ,"Bring the Taco emoji!!!!!!!!!! Customize the look of the whole app, and group texts work seamlessly. No lag. Being able to add custom, non stock ringtones would just be icing on the cake.",Exactly what I wanted,en,,,,,14831371782,"Bring the Taco emoji!!!!!!!!!! Customize the look of the whole app, and group texts work seamlessly. No lag. Being able to add custom, non stock ringtones would just be icing on the cake.",5.00,Exactly what I wanted,3.7,0
Marcia Riemenschneider,2015-10-21T22:44:45,14831371782L5s3NU7mLWUx3b_O40BmJMQ,ZZ,"I really like the app,  very simple compared to some others out there. Just wish there was a way to set my own background pictures.  I like the dark theme,  better than the glaring white of the native android text app. Hopefully improvements will continue. Have never had an issue with sending or receiving.",Easy to use,en,,,,,14831371782,"I really like the app,  very simple compared to some others out there. Just wish there was a way to set my own background pictures.  I like the dark theme,  better than the glaring white of the native android text app. Hopefully improvements will continue. Have never had an issue with sending or receiving.",4.00,Easy to use,3.7,0
Pamela Munghen,2015-10-21T22:42:47,14831371782L2WaTTxtav3ffDwL4NjKE6w,ZZ,Best,Best,de,la,lb,nl,no,14831371782,Best,5.00,Best,3.7,0
Blaine Ball,2015-10-21T22:42:31,14831371782LSZlSGiBAzpZsV1MEIu1Xqg,ZZ,I have used several SMS apps and this one is the best.  Not bogged down with too much crap and not stripped down to bare bones either.,Excellent,en,,,,,14831371782,I have used several SMS apps and this one is the best.  Not bogged down with too much crap and not stripped down to bare bones either.,5.00,Excellent,3.7,0
Axl Myk,2015-10-21T22:36:20,14831371782LjCzhRXmjqo-YqdSO1MYGXw,ZZ,"I like it just fine,BUT the last update broke it. I can't send any texts, and MMS doesn't work at all. I cleared the cache, but no go. It also keeps asking to be made as default, but that doesn't work either. Version 3.7.",Sure beats Samsung stock SMS,en,,,,,14831371782,"I like it just fine,BUT the last update broke it. I can't send any texts, and MMS doesn't work at all. I cleared the cache, but no go. It also keeps asking to be made as default, but that doesn't work either. Version 3.7.",2.00,Sure beats Samsung stock SMS,3.7,0
Conor Fitzgerald,2015-10-21T22:25:48,14831371782L7pnb4Hjl4yF6tSQnd34-9Q,ZZ,Much better than the standard Android stock messaging app. Smoother and runs better as well.,Great,en,,,,,14831371782,Much better than the standard Android stock messaging app. Smoother and runs better as well.,5.00,Great,3.7,0
Eric Ramirez,2015-10-21T22:22:02,14831371782LyZsdlIWq7XxrrHdGO3RmmQ,ZZ,Very awesome!,,af,en,de,lb,,14831371782,Very awesome!,5.00,,3.7,0
Jocel Ann Pameron,2015-10-21T22:20:27,14831371782LPzSxxPBG3QcBVSk5RqxwBA,ZZ,Would've been a 5 star but can't send any of my messages. Srry,,en,,,,,14831371782,Would've been a 5 star but can't send any of my messages. Srry,3.00,,,0
Libin Mathew,2015-10-21T22:07:25,14831371782LyjWuOmi7AgVMR9LSVDsZQw,ZZ,Great App,,en,la,lb,roa_rup,de,14831371782,Great App,5.00,,3.7,0
fault 獣慾,2015-10-21T21:58:02,14831371782Li-yzyOEMw81qtaPf1t9fmQ,ZZ,"While this app answers the issues I'd had with stock messaging apps, the customization options -- while elegant in their minimalism -- leave me wanting a little bit more out of the money I paid for the PRO version. Give me more choice of font, colors, window shapes and sizes for 5.","It's good, but...",en,,,,,14831371782,"While this app answers the issues I'd had with stock messaging apps, the customization options -- while elegant in their minimalism -- leave me wanting a little bit more out of the money I paid for the PRO version. Give me more choice of font, colors, window shapes and sizes for 5.",4.00,"It's good, but...",3.7,0
Jason Maasdam,2015-10-21T21:49:49,14831371782Lj9DV3pQgW5KOr71XWPvw_w,ZZ,Better than stock app on Galaxy 6 Edge.,Good app,en,sv,da,nn,no,14831371782,Better than stock app on Galaxy 6 Edge.,5.00,Good app,3.7,0
Jason Nazworth,2015-10-21T21:39:04,14831371782LiEWcm91xWR4mqb1eh3CGhw,ZZ,Update:   works flawlessly on nexus 6 running android 6.0 M.  Very sleek and professional user interface.   Price is a little high but overall satisfied with the purchase.    A+,Outstanding!,en,,,,,14831371782,Update:   works flawlessly on nexus 6 running android 6.0 M.  Very sleek and professional user interface.   Price is a little high but overall satisfied with the purchase.    A+,5.00,Outstanding!,3.7,0
Libby Frolichman,2015-10-21T21:35:42,14831371782LEf07KtrAZI8vuet3Zjsq6w,ZZ,"I was having problems with another texting app.  Once I found this one (and learned how to open the emogees), I've been very happy.",It works!,en,,,,,14831371782,"I was having problems with another texting app.  Once I found this one (and learned how to open the emogees), I've been very happy.",5.00,It works!,3.7,0
